id_consumidor,id_filme,nota_filme
1,46,8
1,34,4
2,50,3
2,35,1
2,37,1
2,30,2
3,35,0
3,48,8
3,42,9
3,21,2
4,44,1
4,33,4
4,28,3
5,45,8
5,49,10
6,14,4
6,19,8
6,36,8
6,10,7
7,2,0
7,44,7
8,46,0
8,40,0
9,35,5
9,15,4
10,14,7
11,6,0
11,15,4
12,50,8
12,27,6
13,7,6
13,29,3
14,41,0
14,3,8
14,4,0
14,35,0
15,6,5
15,45,6
15,3,4
15,46,10
16,2,1
16,17,2
17,38,6
18,14,3
19,15,10
19,26,9
19,21,9
19,41,2
20,18,9
20,24,2
20,4,5
21,45,7
21,48,10
22,38,4
23,12,5
23,24,1
23,11,3
23,48,4
24,50,0
24,17,8
24,35,9
25,48,6
25,50,1
25,44,6
25,23,10
26,49,10
26,50,2
27,32,6
27,10,8
28,21,4
29,49,0
29,8,9
29,38,9
30,26,2
30,25,0
30,23,6
30,34,10
31,32,4
31,25,5
31,9,1
32,16,2
32,9,2
33,4,3
34,47,6
34,39,10
34,33,1
34,10,0
35,6,1
36,35,0
36,37,5
36,40,2
36,39,4
37,26,0
37,31,6
37,27,4
38,27,1
38,47,10
38,8,8
38,45,3
39,23,4
39,28,5
39,13,6
40,50,10
40,20,1
40,37,3
40,16,7
41,16,3
41,19,0
41,1,0
41,2,0
42,5,10
42,1,6
42,43,10
42,35,4
43,9,2
43,27,4
44,12,8
44,40,3
44,13,5
45,17,4
45,30,6
46,23,9
46,10,1
46,45,5
47,40,0
47,42,2
47,41,7
48,45,4
48,9,5
48,43,1
49,39,0
49,20,6
49,36,3
49,42,3
50,24,8
50,50,1
51,38,2
51,33,5
51,25,10
52,18,9
52,9,8
52,34,3
52,4,0
53,19,10
53,5,8
53,4,4
53,20,7
54,50,2
54,31,7
54,14,0
55,18,6
55,31,7
55,9,2
55,41,2
56,37,5
57,24,0
57,34,0
57,16,7
57,19,4
58,17,4
58,4,5
59,1,6
59,21,1
60,29,7
60,6,0
61,33,3
61,12,9
61,11,4
61,31,3
62,3,0
62,35,3
62,21,10
63,33,6
63,1,3
64,4,1
65,50,9
66,50,5
66,34,10
66,12,6
67,6,8
67,41,9
67,34,0
68,12,6
69,38,2
69,11,3
70,33,5
70,40,3
71,1,7
72,8,9
72,41,7
72,27,8
72,40,3
73,49,8
73,13,8
73,20,3
73,39,1
74,2,10
74,35,8
75,5,8
76,15,8
77,48,1
77,36,5
77,17,8
78,2,4
79,41,1
79,44,8
80,5,0
80,47,0
80,14,3
81,39,2
81,1,9
81,7,5
82,3,7
82,35,0
82,36,4
82,48,8
83,43,9
83,8,2
83,15,2
83,6,7
84,38,7
84,22,5
84,28,1
85,2,6
85,13,2
85,31,10
85,29,6
86,8,8
87,27,7
87,49,4
88,40,1
89,31,5
89,21,8
89,13,6
90,29,0
90,38,10
91,45,1
91,23,4
92,12,6
92,26,3
92,14,1
92,8,9
93,13,10
93,25,6
94,13,0
94,8,9
94,6,4
94,45,8
95,29,8
95,3,8
95,35,4
96,46,6
97,14,6
97,22,5
97,50,5
97,4,7
98,16,5
98,8,8
99,30,10
100,50,1
100,49,1
101,2,0
101,35,1
102,9,9
102,32,9
103,11,4
103,10,0
104,19,1
104,24,3
105,2,6
106,8,10
106,4,3
106,41,6
107,28,5
107,14,5
107,4,1
108,39,9
108,37,2
109,40,10
109,13,8
109,26,1
110,41,9
110,24,3
110,26,1
110,23,9
111,46,7
111,27,10
111,37,1
112,16,8
113,23,7
114,35,3
114,26,4
114,14,9
115,47,1
115,27,5
116,14,10
116,38,9
116,27,7
117,10,10
117,21,8
118,19,0
118,16,2
119,22,5
119,32,0
119,40,5
120,38,3
120,24,7
120,19,0
120,47,5
121,43,7
121,36,2
122,25,0
122,50,2
122,46,0
123,21,10
124,19,0
124,31,8
124,48,8
125,39,0
125,9,3
126,18,3
126,23,6
127,17,7
127,45,9
127,34,8
127,50,1
128,16,6
128,11,10
128,36,10
128,45,5
129,39,2
130,9,8
130,14,6
130,27,7
130,8,1
131,16,0
131,42,2
131,36,9
132,30,3
132,36,7
133,28,9
133,31,3
133,50,2
134,43,1
134,39,0
135,50,4
135,14,4
135,32,8
135,40,3
136,29,8
137,9,9
137,8,5
138,49,6
139,50,8
140,14,9
140,9,2
140,17,0
141,49,0
141,50,2
141,7,6
142,36,0
142,14,1
143,22,4
143,2,5
143,36,4
144,14,9
144,3,6
144,29,1
145,49,2
145,35,6
145,36,9
145,15,7
146,42,9
147,30,9
147,37,0
147,25,1
147,27,4
148,4,7
148,12,6
148,11,2
148,43,4
149,47,2
150,2,2
150,41,4
150,42,4
150,12,6
151,15,10
151,36,8
151,32,7
151,30,3
152,36,4
153,4,7
153,31,6
154,37,7
154,18,2
154,29,9
154,23,1
155,35,2
155,28,1
155,21,7
156,3,1
157,46,1
157,1,3
157,9,9
157,25,9
158,39,3
158,38,6
159,17,6
159,30,8
159,3,5
160,5,0
160,31,8
161,15,0
161,4,4
161,7,10
161,27,0
162,22,8
163,44,7
163,17,0
164,2,4
164,46,6
164,49,6
165,11,7
165,14,5
166,28,1
166,8,0
167,46,4
167,20,6
167,13,0
168,38,9
168,50,8
168,20,4
168,32,5
169,29,7
169,39,6
169,44,7
169,36,1
170,41,1
170,50,2
171,9,2
171,2,9
171,41,7
171,26,0
172,3,4
172,46,4
172,49,0
172,34,6
173,37,9
173,28,5
174,27,8
174,47,1
174,31,0
174,10,2
175,9,9
175,44,7
175,7,3
176,35,8
176,27,2
177,24,10
178,7,8
178,43,2
178,1,10
178,6,10
179,10,7
180,36,10
180,5,10
180,40,4
180,4,6
181,50,6
181,12,10
182,30,4
182,10,5
183,30,1
183,22,8
183,18,6
184,36,8
184,10,9
184,18,10
185,21,9
185,17,6
186,13,0
186,35,10
186,17,8
187,22,7
188,36,7
188,19,8
188,38,9
188,31,7
189,5,0
190,10,9
190,31,1
190,9,6
191,12,8
192,20,0
192,41,5
192,5,10
192,12,5
193,15,8
193,3,1
193,34,3
193,19,4
194,19,6
194,26,4
194,9,8
194,38,5
195,17,8
195,24,0
195,46,10
195,23,7
196,16,5
196,35,10
197,14,0
197,17,6
198,24,5
198,47,3
199,21,2
199,22,9
200,31,5
200,4,1
200,5,3
200,46,9
201,30,8
201,38,3
202,10,7
203,16,3
203,11,10
204,38,0
204,22,3
205,16,5
205,2,9
205,17,4
205,10,3
206,9,8
207,39,7
207,28,4
208,37,1
208,42,10
208,31,4
208,36,5
209,3,1
210,14,7
210,29,0
210,44,1
210,9,5
211,31,7
211,19,3
211,6,1
